code,prov,area_ha,sp,elev_mean,elev_min,elev_max,elevF,perim,lat,long,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AL023009,AL,79.807423,PINUS NIGRA SSP AUSTR.,1551.28,1469,1667,medium,4462.2,37.04288,-2.78851,2,1,0,0,1,3,0,0,1,1,1,1,NA,1,1,1,0,0,2,3,1,0,0,1,0,0,1
AL023010,AL,29.730468199999997,PINUS NIGRA SSP AUSTR.,1578.37,1470,1661,medium,4366.84,37.03928,-2.78637,NA,NA,NA,NA,NA,3,2,0,0,0,1,1,NA,1,1,0,0,0,2,3,1,0,0,1,0,0,1
AL023011,AL,7.262987699999999,PINUS NIGRA SSP AUSTR.,1668.76,1645,1689,medium,1310.41,37.04163,-2.8067,NA,NA,NA,NA,NA,1,0,0,1,1,1,1,NA,1,1,0,0,0,3,3,1,0,0,1,0,0,2
AL041006,AL,43.1603011,PINUS HALEPENSIS,555.57,455,683,verlow,2757.26,36.86089,-2.60177,NA,NA,NA,2,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
AL043001,AL,938.3292415,PINUS HALEPENSIS,1497.07,901,1846,medium,26354.62,36.89675,-2.7467,NA,2,1,1,2,5,3,NA,0,2,NA,0,0,1,2,1,1,0,1,1,1,1,1,2,1,1,2
AL043003,AL,238.2147966,PINUS NIGRA SSP SALZM.,1347.87,1062,1538,medium,12405.41,36.90282,-2.70714,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
AL043005,AL,287.7923973,PINUS HALEPENSIS,835.07,559,1194,low,16809.5,36.8626,-2.71744,NA,2,0,0,1,1,1,NA,0,0,1,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0
AL050034,AL,421.47922259999996,PINUS HALEPENSIS,990.84,775,1279,low,26299.34,37.14322,-2.56171,NA,3,0,0,1,1,3,3,0,0,1,0,0,0,0,3,1,2,0,0,0,1,1,2,1,0,1
AL050035,AL,101.7897424,PINUS HALEPENSIS,1112.39,895,1210,low,6271.07,37.15149,-2.52172,NA,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AL050037,AL,45.631589,PINUS HALEPENSIS,976.94,919,1049,low,6016.16,37.13863,-2.50172,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,3,0,0,0,1,1,0,0,0,1,0,1,3,3,0,0
AL050038,AL,176.72547600000001,PINUS HALEPENSIS,815.12,697,892,low,11195.34,37.10301,-2.51717,NA,NA,NA,3,1,2,3,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
AL050039,AL,103.06987020000001,PINUS NIGRA SSP AUSTR.,1966.8,1845,2061,high,5191.12,37.21376,-2.54088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,2,3,0,1,1,1,2,3,3,3
AL050040,AL,14.1755315,PINUS PINEA,1065.3,1015,1105,low,1712.37,37.14119,-2.51605,NA,0,0,NA,1,2,1,0,0,0,0,3,0,0,0,1,2,0,0,0,0,2,1,1,1,1,1
AL050041,AL,239.3999633,PINUS HALEPENSIS,891.05,704,1032,low,14403.36,37.13125,-2.48997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,1,1,0,0,0,0,3,3,3,1,0,1
AL050042,AL,89.02601779999999,NA,923,824,1005,low,6158.07,37.13578,-2.45308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,2,0,1,2,4,4,4,4,2
AL051001,AL,20.4583397,PINUS HALEPENSIS,1147.73,1090,1226,low,2374.61,36.93581,-2.62243,NA,0,0,0,1,0,1,1,1,3,2,0,3,0,0,3,0,1,1,0,1,1,1,2,0,2,2
AL051002,AL,42.0445276,PINUS HALEPENSIS,1166.81,1084,1253,low,6445.43,36.92738,-2.64327,NA,0,0,NA,1,2,1,1,1,2,2,0,NA,0,0,3,0,1,2,2,0,1,1,2,0,1,2
AL051003,AL,76.3382234,PINUS HALEPENSIS,1159.13,1056,1280,low,4752.41,36.93306,-2.65922,NA,0,0,NA,1,2,1,1,1,3,2,0,NA,0,0,3,0,1,1,1,0,1,1,2,0,2,2
AL051004,AL,11.794696700000001,PINUS HALEPENSIS,1092.79,1015,1151,low,2234.02,36.94545,-2.63299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,2,1,1,2,1,2,2,0,2,2
AL051007,AL,37.109426400000004,PINUS HALEPENSIS,971.78,854,1137,low,3181.57,36.95148,-2.61325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,2,1,2,1,1,2,0,2,2
AL053001,AL,122.0663543,PINUS HALEPENSIS,428.73,366,479,verlow,11970.36,37.43246,-1.99332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,0,0,2,2,2,1,0,1,1
AL053002,AL,69.8776893,PINUS HALEPENSIS,346.82,271,430,verlow,3771.72,37.38205,-1.97346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,2,0,0,0,0,0,2
AL053003,AL,40.0563594,PINUS HALEPENSIS,320.05,247,408,verlow,3842.2,37.38371,-1.96768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,3,0,0,0,0,0,2
AL053004,AL,5.2369193,PINUS HALEPENSIS,285.4,256,317,verlow,957.27,37.38604,-1.96418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,2,0,0,0,0,0,1
AL053005,AL,40.929082799999996,PINUS HALEPENSIS,319.07,263,404,verlow,3328.56,37.38292,-1.96212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,2,1,1,3,0,0,1,0,0,3
AL053007,AL,16.564816399999998,PINUS HALEPENSIS,363.65,319,433,verlow,2139.11,37.37781,-1.9654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3,0,0,0,0,0,3
AL053008,AL,14.043358600000001,PINUS HALEPENSIS,348.3,311,397,verlow,2357.67,37.37834,-1.96041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,4,0,0,1,0,1,2
AL053009,AL,61.1009931,PINUS HALEPENSIS,287.62,222,365,verlow,5852.11,37.37659,-1.95107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,2,0,0,0,0,0,1
AL053010,AL,8.012222999999999,PINUS HALEPENSIS,368.18,329,425,verlow,1298.4,37.37536,-1.96753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,3,0,0,1,0,1,2
AL053011,AL,57.2788088,PINUS HALEPENSIS,303.04,241,434,verlow,5922.57,37.36914,-1.96337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,3,0,0,1,0,1,2
AL053012,AL,10.6426364,PINUS HALEPENSIS,318.43,287,353,verlow,1389.29,37.37152,-1.9649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,4,0,0,0,0,0,2
AL053013,AL,8.5271436,PINUS HALEPENSIS,321.74,286,368,verlow,1954.56,37.37258,-1.95404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,1,3,0,0,1,0,0,2
AL053014,AL,19.0175428,PINUS HALEPENSIS,294.52,266,361,verlow,2766.37,37.36984,-1.95499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,3,0,0,0,0,1,2
AL053015,AL,12.345974700000001,PINUS HALEPENSIS,317.17,275,366,verlow,2526.49,37.36845,-1.95111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,1,1,1,4,0,0,0,0,0,2
AL053016,AL,41.1051959,PINUS HALEPENSIS,267.15,204,360,verlow,5802.83,37.37098,-1.94552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,1,0,3,0,0,1,0,0,2
AL053017,AL,10.4799609,PINUS HALEPENSIS,291.12,229,351,verlow,2140.37,37.37046,-1.94725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,0,1,4,0,0,0,0,1,2
AL053018,AL,9.6299891,PINUS HALEPENSIS,378.69,336,432,verlow,1455.56,37.37332,-1.97238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,4,0,0,1,0,0,2
AL053019,AL,27.9851706,PINUS HALEPENSIS,317.05,261,404,verlow,5393.12,37.36769,-1.97585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,3,0,0,1,0,0,2
AL053020,AL,17.345270000000003,PINUS HALEPENSIS,328.19,286,388,verlow,2621.52,37.36979,-1.97639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,0,0,0,3,0,0,0,0,0,2
AL053021,AL,40.9598813,PINUS HALEPENSIS,255.74,215,306,verlow,3624.35,37.36002,-1.9723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,3,0,0,0,0,0,3
AL053037,AL,8.9187051,PINUS HALEPENSIS,227.93,165,278,verlow,2377.43,37.33452,-1.92377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,2,4,0,1,2,0,1,1
AL053038,AL,25.3648799,PINUS HALEPENSIS,212.04,160,280,verlow,2778.52,37.361,-1.94108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,1,3,0,1,0,0,1,2
AL057008,AL,133.58343349999998,PINUS SYLVESTRIS,1769.8,1557,1987,high,10801.8,37.04525,-2.91703,3,0,0,0,3,3,3,0,2,0,3,2,1,1,0,0,0,1,1,2,1,1,1,2,0,2,2
AL057011,AL,157.6961998,PINUS NIGRA SSP AUSTR.,1452.88,1222,1673,medium,13471.3,37.03046,-2.8788299999999998,3,2,0,0,1,4,1,0,1,1,3,0,3,1,0,0,0,1,1,3,1,1,1,1,1,1,1
AL057012,AL,292.9195514,PINUS HALEPENSIS,1113.87,896,1345,low,27957.17,37.01281,-2.88585,3,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
AL057014,AL,64.4894951,PINUS NIGRA SSP SALZM.,1358.26,1177,1456,medium,6290.26,37.01737,-2.90255,3,0,0,0,4,3,0,0,2,0,3,0,3,2,1,2,0,3,1,1,0,1,1,3,1,3,3
AL057016,AL,348.2729506,PINUS NIGRA SSP SALZM.,1252.96,966,1581,medium,18301.49,36.93014,-2.92355,NA,NA,NA,NA,NA,NA,3,0,0,0,0,3,0,0,0,1,1,1,1,1,0,1,0,0,0,4,2
AL057017,AL,337.5653891,PINUS NIGRA SSP SALZM.,1714.65,1444,1967,high,20533.64,36.92288,-2.89719,NA,NA,NA,NA,NA,NA,3,0,0,0,0,2,0,1,1,0,3,1,1,1,0,2,3,5,0,3,4
AL057018,AL,157.64067590000002,PINUS NIGRA SSP AUSTR.,1583.9,1335,1733,medium,12868.29,36.92811,-2.90712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,1,1,3,1,1,1,0,2,3,5,0,4,3
AL061002,AL,37.9385533,PINUS HALEPENSIS,1120.73,1090,1159,low,3246.94,37.48561,-2.41514,NA,0,0,0,0,0,1,1,1,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
AL061003,AL,30.281048100000003,PINUS HALEPENSIS,1366.68,1286,1449,medium,3060.4,37.48534,-2.45816,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061004,AL,28.202347399999997,PINUS HALEPENSIS,1187.52,1115,1250,low,3765.12,37.47691,-2.42492,NA,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061005,AL,77.4173202,PINUS HALEPENSIS,1325.65,1190,1519,medium,5402.86,37.47195,-2.43874,NA,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061006,AL,128.08410800000001,PINUS HALEPENSIS,1325.48,1254,1427,medium,4895.38,37.4592,-2.48121,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061007,AL,33.7925974,PINUS HALEPENSIS,1287.17,1255,1315,medium,3496.57,37.46066,-2.48946,NA,1,0,1,1,1,1,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061008,AL,60.378739800000005,PINUS PINASTER,1538.73,1447,1705,medium,3680.23,37.45962,-2.46066,NA,1,0,1,2,3,1,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AL061009,AL,316.30874109999996,PINUS HALEPENSIS,1480.39,1242,1719,medium,11202.25,37.44951,-2.46327,NA,1,0,1,1,3,1,1,0,1,1,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AL061010,AL,145.1818864,PINUS PINASTER,1346.77,1183,1576,medium,7717.58,37.45081,-2.44683,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061011,AL,93.30896,PINUS HALEPENSIS,1220.19,1163,1295,medium,6326.99,37.44519,-2.42054,NA,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061012,AL,181.8939443,PINUS HALEPENSIS,1200.05,1133,1295,medium,7097.01,37.44553,-2.40511,NA,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061013,AL,162.5689328,PINUS HALEPENSIS,1287.02,1115,1509,medium,10616.24,37.44505,-2.47957,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061014,AL,19.4475616,PINUS HALEPENSIS,1342.43,1289,1397,medium,3285.7,37.44714,-2.45164,NA,1,0,1,1,2,1,0,1,1,1,1,1,0,0,2,1,0,0,1,1,0,1,0,0,0,1
AL061015,AL,27.503499599999998,PINUS HALEPENSIS,1244.3,1184,1307,medium,2636.07,37.44487,-2.41502,NA,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061016,AL,65.4991266,PINUS PINEA,1272.55,1196,1372,medium,6694.73,37.44004,-2.44766,NA,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061017,AL,203.6740671,PINUS HALEPENSIS,1255.76,1051,1453,medium,11718.95,37.42589,-2.45416,NA,1,0,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061019,AL,21.6181481,PINUS HALEPENSIS,1154.98,1119,1213,low,3593.96,37.43874,-2.40108,NA,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061020,AL,171.1746474,PINUS HALEPENSIS,1245.91,1117,1435,medium,6246.95,37.43234,-2.4596,NA,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061021,AL,48.509329599999994,PINUS HALEPENSIS,1145.59,1069,1203,low,4615.14,37.43212,-2.42876,NA,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061022,AL,96.7966379,PINUS HALEPENSIS,1103.1,988,1257,low,5773.36,37.42945,-2.40707,NA,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061023,AL,55.9996686,PINUS HALEPENSIS,1147.08,1052,1268,low,5602.12,37.42548,-2.46987,NA,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061024,AL,24.7591673,PINUS HALEPENSIS,1245.71,1125,1367,medium,3762.96,37.42956,-2.44343,NA,1,0,0,1,3,1,1,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061025,AL,27.059662900000003,PINUS HALEPENSIS,1265.89,1163,1370,medium,2548.8,37.42846,-2.44166,NA,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061026,AL,88.6937842,PINUS HALEPENSIS,1152.02,996,1336,low,5128.92,37.42442,-2.43336,NA,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061027,AL,15.4543188,PINUS HALEPENSIS,1080.36,1032,1136,low,2398.94,37.42451,-2.42847,NA,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
AL061028,AL,59.88739939999999,PINUS HALEPENSIS,1038.98,948,1138,low,6401.84,37.41708,-2.42391,NA,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AL061029,AL,84.0210169,PINUS HALEPENSIS,1052.84,993,1121,low,5603.11,37.41705,-2.47065,NA,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061030,AL,84.3511448,PINUS HALEPENSIS,1060.84,961,1196,low,6153.26,37.41666,-2.45895,NA,1,0,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061031,AL,60.6852115,PINUS HALEPENSIS,1008.39,929,1095,low,4082.79,37.40943,-2.4693,NA,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061032,AL,74.9078712,PINUS HALEPENSIS,926.65,838,1017,low,8285.87,37.40561,-2.40039,NA,5,3,1,2,3,2,1,3,1,1,0,1,1,1,2,3,0,0,0,1,0,1,1,1,1,0
AL061033,AL,257.4544869,PINUS HALEPENSIS,928.67,842,1061,low,11343.59,37.40373,-2.45864,NA,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL061034,AL,18.433777600000003,PINUS HALEPENSIS,934.11,857,1018,low,2697.21,37.40715,-2.42432,NA,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL062001,AL,264.1989417,PINUS HALEPENSIS,683.36,517,867,low,14492.78,37.32673,-2.2712,NA,2,0,2,2,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,2,1
AL062002,AL,90.4010208,PINUS HALEPENSIS,778.99,593,1044,low,12699.83,37.30775,-2.30988,NA,2,2,2,1,2,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,2,4,3,1
AL063001,AL,40.3312704,PINUS HALEPENSIS,1102.72,1038,1164,low,3977.02,37.8051,-2.2197,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL063002,AL,29.6422196,PINUS HALEPENSIS,1101.39,1054,1137,low,3892.58,37.80258,-2.22279,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL063003,AL,180.97949450000002,PINUS HALEPENSIS,1103.94,1033,1178,low,12827.84,37.778,-2.22636,NA,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL063004,AL,259.56598990000003,PINUS HALEPENSIS,1133.89,1022,1206,low,14729.2,37.76144,-2.21202,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL063005,AL,12.3950923,PINUS HALEPENSIS,1164.55,1106,1192,low,3468.53,37.76503,-2.23613,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL063006,AL,46.0502575,PINUS HALEPENSIS,1146.24,1048,1209,low,8548.42,37.7559,-2.21361,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL063007,AL,44.775843300000005,PINUS HALEPENSIS,1116.75,1048,1187,low,7405.51,37.75471,-2.21588,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL063008,AL,22.4461354,PINUS HALEPENSIS,1206.56,1172,1227,medium,3853.72,37.74738,-2.24752,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL063009,AL,297.9391438,PINUS HALEPENSIS,1200.9,1106,1267,medium,21652.2,37.72947,-2.23679,NA,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL063010,AL,115.3149498,PINUS HALEPENSIS,1140.02,1053,1216,low,10386.04,37.7374,-2.2192,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL063011,AL,53.98466559999999,PINUS HALEPENSIS,1172.12,1133,1230,low,7007.76,37.73262,-2.2435,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL063012,AL,36.6373447,PINUS HALEPENSIS,1111.3,1056,1164,low,6837.25,37.73152,-2.20743,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL063013,AL,169.00986310000002,PINUS HALEPENSIS,1152.28,1050,1270,low,22154.95,37.72176,-2.19894,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL063014,AL,1314.1283019999998,PINUS HALEPENSIS,1294.65,1133,1849,medium,28692.78,37.69754,-2.22458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL063015,AL,173.28776159999998,PINUS HALEPENSIS,1240.73,1161,1324,medium,11046.82,37.71308,-2.18254,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL063016,AL,176.21760179999998,PINUS HALEPENSIS,1313.85,1186,1524,medium,9746.12,37.69734,-2.14652,4,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL063017,AL,267.29767400000003,PINUS HALEPENSIS,1438.05,1253,1685,medium,13658.73,37.69084,-2.17506,0,0,0,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
AL063018,AL,318.0063102,PINUS HALEPENSIS,1146.63,1063,1605,low,11929.73,37.68489,-2.27284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
AL063020,AL,27.5461816,PINUS HALEPENSIS,1374.77,1255,1519,medium,2648.02,37.69313,-2.21052,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
AL063021,AL,51.9812786,PINUS HALEPENSIS,1422.08,1293,1629,medium,4555.77,37.691160000000004,-2.19656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
AL065001,AL,151.6486983,PINUS HALEPENSIS,961.95,704,1175,low,16454.93,37.10804,-2.69649,3,0,0,0,1,3,3,2,0,1,1,1,0,0,0,0,0,2,2,1,0,1,2,3,3,1,0
AL065002,AL,351.5547325,PINUS HALEPENSIS,851.01,527,1240,low,31027.45,37.09158,-2.65837,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
AL065003,AL,12.4467802,PINUS HALEPENSIS,1058.49,1007,1130,low,1617.46,37.09955,-2.69407,3,0,0,0,1,3,3,2,0,NA,0,0,NA,NA,0,0,0,1,0,0,0,1,1,2,1,1,0
AL065004,AL,274.76116030000003,PINUS HALEPENSIS,1196.56,895,1403,low,16910.79,37.08879,-2.68401,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,0,0,0,0,1,0,0,1,1,2,1,1,1
AL067001,AL,175.4509683,PINUS NIGRA SSP AUSTR.,1748.13,1574,1963,high,13901.97,37.07664,-2.77209,2,4,0,0,2,3,2,0,0,NA,1,NA,NA,NA,0,0,0,0,2,3,0,0,0,1,0,2,2
AL067002,AL,211.1354052,PINUS SYLVESTRIS,1879.61,1668,2124,high,11271.45,37.07503,-2.78482,2,1,0,0,1,1,2,0,0,NA,0,NA,NA,NA,1,0,0,0,2,3,0,0,0,1,0,0,2
AL067003,AL,36.486615,PINUS PINASTER,1537.39,1409,1599,medium,3804.39,37.07504,-2.75768,2,1,0,0,1,2,2,0,0,NA,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,1
AL067004,AL,40.850472700000005,PINUS PINASTER,1423.98,1345,1500,medium,4587.53,37.06726,-2.75466,2,1,0,0,1,2,2,0,0,1,NA,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AL067005,AL,93.93552460000001,PINUS PINASTER,1578.65,1467,1755,medium,6338.42,37.0645,-2.75946,2,1,0,0,1,2,2,0,0,NA,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
AL067006,AL,24.6826312,PINUS PINASTER,1543.07,1452,1657,medium,1934.8,37.06291,-2.77796,NA,1,0,0,1,2,2,0,0,NA,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
AL067007,AL,15.6950791,PINUS PINASTER,1416.13,1334,1481,medium,2682.5,37.05882,-2.77544,NA,1,0,0,1,2,2,0,0,1,NA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AL068001,AL,535.5942068,PINUS NIGRA SSP AUSTR.,1707.66,1321,2048,high,17715,37.20195,-2.51212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,2,3,0,2,1,0,0,0,0,4,3,3,3
AL068002,AL,345.9387968,PINUS HALEPENSIS,1357.66,1145,1551,medium,11689.27,37.19237,-2.51296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1
AL068003,AL,222.614279,NA,910.89,711,1109,low,19432.32,37.14009,-2.46249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,2,2,2,2,4,4,4,4,1
AL069001,AL,516.5714783,PINUS HALEPENSIS,922.38,543,1161,low,18791.15,37.40615,-2.31383,NA,0,0,0,0,0,0,NA,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0
AL069002,AL,81.9681709,PINUS HALEPENSIS,884.71,691,1111,low,4087.96,37.40681,-2.29872,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
