code,prov,area_ha,sp,elev_mean,elev_min,elev_max,elevF,perim,lat,long,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AL002009,AL,40.259799300000005,PINUS NIGRA SSP AUSTR.,1522.69,1396,1620,medium,2874.61,37.13509,-2.8655,3,1,0,0,0,2,0,0,0,2,NA,3,4,0,0,0,0,0,3,2,0,0,0,1,0,2,4
AL002010,AL,300.6764771,PINUS SYLVESTRIS,1648.62,1351,1834,medium,17479.73,37.1212,-2.87363,0,0,0,0,0,1,0,0,0,1,2,3,4,0,0,0,0,0,2,4,1,0,0,1,1,2,3
AL002011,AL,45.666127100000004,PINUS HALEPENSIS,1140.62,969,1248,low,4646.31,37.12528,-2.78964,NA,4,0,0,0,2,0,0,0,1,2,2,1,0,0,1,0,1,1,2,1,0,1,2,2,2,1
AL002012,AL,303.2116779,PINUS NIGRA SSP AUSTR.,1460.51,1164,1705,medium,11209.11,37.11841,-2.84822,3,0,0,0,0,1,0,0,0,1,3,2,2,0,0,0,0,0,2,2,1,0,0,1,0,2,2
AL002013,AL,40.571305200000005,PINUS HALEPENSIS,1258.28,1179,1324,medium,3473.4,37.11927,-2.78237,NA,2,0,0,0,1,0,0,0,1,3,2,1,0,0,1,0,2,1,1,1,0,0,0,0,2,1
AL002014,AL,12.0581905,PINUS NIGRA SSP AUSTR.,1766.18,1683,1811,high,2231.56,37.11802,-2.88035,0,0,0,0,0,3,1,0,0,1,2,3,3,0,0,0,0,0,2,4,0,0,0,1,1,2,4
AL002015,AL,245.28089049999997,PINUS NIGRA SSP AUSTR.,1842.33,1433,2209,high,11490.56,37.10565,-2.86788,3,0,0,0,0,1,0,0,0,NA,3,2,3,0,0,0,0,0,3,4,1,0,0,1,2,3,4
AL002016,AL,71.8635373,PINUS SYLVESTRIS,1936.49,1803,2137,high,4660.57,37.10578,-2.88661,0,0,0,0,0,1,0,0,0,NA,0,1,3,0,0,0,0,0,2,3,1,0,0,2,2,3,3
AL002017,AL,16.6887385,PINUS NIGRA SSP AUSTR.,1787.32,1740,1831,high,1740.31,37.11494,-2.88155,0,0,0,0,0,3,1,0,0,NA,2,3,4,0,0,0,0,0,2,4,0,0,0,2,2,2,3
AL002018,AL,102.5125246,PINUS NIGRA SSP AUSTR.,1263.96,1118,1397,medium,7408.15,37.11026,-2.82803,0,1,0,0,2,3,0,0,0,2,3,2,1,0,0,0,0,0,2,2,0,0,1,1,1,1,3
AL002019,AL,97.3014978,PINUS SYLVESTRIS,1344.9,1238,1495,medium,5375.75,37.10975,-2.77869,0,0,0,0,1,2,1,0,0,1,2,1,1,0,0,1,0,2,3,1,0,0,1,2,2,1,2
AL002020,AL,132.4889447,PINUS NIGRA SSP AUSTR.,1380.1,1191,1507,medium,12259.76,37.10723,-2.8046,0,1,0,0,0,3,0,0,0,1,2,3,1,0,0,0,0,0,1,3,0,0,1,1,0,2,2
AL002021,AL,137.0432216,PINUS SYLVESTRIS,1627.6,1417,1856,medium,5606.19,37.10099,-2.78505,0,0,0,0,1,2,1,0,0,NA,1,1,NA,0,0,1,0,0,2,2,0,0,0,0,0,1,2
AL002022,AL,317.50056839999996,PINUS NIGRA SSP AUSTR.,1581.27,1238,1984,medium,15306.55,37.10052,-2.83698,0,1,0,0,2,3,0,0,0,NA,3,1,1,0,0,0,0,0,2,2,1,0,1,2,2,2,4
AL002023,AL,141.9609897,PINUS NIGRA SSP AUSTR.,1643.66,1365,1879,medium,7942.42,37.10026,-2.79865,0,1,0,0,0,3,0,0,0,NA,0,1,2,0,0,1,0,1,2,3,0,0,0,1,1,1,1
AL002024,AL,118.79588670000001,PINUS SYLVESTRIS,1930.38,1477,2250,high,7144.22,37.08807,-2.80719,0,0,0,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,0,2,4,1,0,0,1,2,2,2
AL002025,AL,24.796091200000003,PINUS NIGRA SSP AUSTR.,1718.08,1659,1784,high,4137.57,37.115,-2.86206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,0,2,3,0,0,0,1,2,2,3
AL002026,AL,110.1102011,PINUS SYLVESTRIS,1800.87,1691,1903,high,8082.39,37.10913,-2.87715,0,0,0,0,0,1,0,0,0,NA,0,4,2,0,0,0,0,0,2,3,1,0,0,1,2,3,4
AL005001,AL,164.386987,PINUS HALEPENSIS,1250.11,858,1465,medium,9729.36,37.06642,-2.6791,3,1,0,0,0,1,0,0,0,1,1,1,NA,NA,0,0,0,0,0,0,0,1,0,1,0,1,0
AL005003,AL,160.0237055,PINUS HALEPENSIS,686.59,402,872,low,9052.4,37.04826,-2.61026,NA,0,1,NA,0,1,0,NA,0,1,3,NA,NA,NA,0,2,2,1,0,0,0,0,0,0,0,1,3
AL006001,AL,17.6230252,PINUS HALEPENSIS,1188.28,1054,1281,low,2552.61,37.53092,-2.16383,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0
AL007001,AL,48.220653600000006,PINUS HALEPENSIS,886.45,745,1008,low,6082.87,36.99235,-2.94551,NA,3,0,0,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
AL007002,AL,188.325179,PINUS HALEPENSIS,816.13,672,994,low,15160.73,36.98726,-2.96665,NA,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,1
